date,add,district,lng,lat,is14New
2022-03-21,浦东新区军港公路朝丰新村,浦东新,121.849267,31.070411,1
2022-03-21,浦东新区杨高北路5291弄,浦东新,121.606074,31.265199,1
2022-03-21,浦东新区尚博路569弄,浦东新,121.52006,31.149234,1
2022-03-21,浦东新区张杨路2999弄,浦东新,121.567486,31.248584,1
2022-03-21,浦东新区碧云路333弄,浦东新,121.576989,31.236905,1
2022-03-21,浦东新区梅花路230弄,浦东新,121.542426,31.208578,1
2022-03-21,浦东新区龙阳路1880弄,浦东新,121.553677,31.201204,1
2022-03-21,浦东新区三林路788弄,浦东新,121.508293,31.141908,1
2022-03-21,浦东新区陆楼村,浦东新,121.764987,31.074573,1
2022-03-21,浦东新区宣镇东路785弄,浦东新,121.700025,31.023253,1
2022-03-21,浦东新区博华路237弄,浦东新,121.544992,31.184512,1
2022-03-21,浦东新区听悦路686弄,浦东新,121.739386,31.054759,1
2022-03-21,浦东新区鹏飞路426弄,浦东新,121.554963,31.171328,1
2022-03-21,浦东新区殷北路361弄,浦东新,121.628137,31.178776,1
2022-03-21,浦东新区繁荣东路150弄,浦东新,121.58675,31.106794,1
2022-03-21,浦东新区金桥路530弄,浦东新,121.574344,31.26157,1
2022-03-21,浦东新区利津路385弄,浦东新,121.584609,31.276659,1
2022-03-21,浦东新区建光村高家宅,浦东新,121.659321,31.168169,1
2022-03-21,浦东新区新川路922弄,浦东新,121.688005,31.190238,1
2022-03-21,浦东新区靖海南路567弄,浦东新,121.768813,31.032159,1
2022-03-21,浦东新区云汉路779弄,浦东新,121.810185,30.908118,1
2022-03-21,浦东新区横桥路69弄,浦东新,121.579298,31.108561,1
2022-03-21,浦东新区草高支路656号,浦东新,121.574324,31.352495,1
2022-03-21,浦东新区金豫路50弄,浦东新,121.61434,31.255245,1
2022-03-21,浦东新区金桥路825号,浦东新,121.578498,31.26092,1
2022-03-21,浦东新区牡丹路259弄,浦东新,121.548304,31.207851,1
2022-03-21,浦东新区绿林路320弄,浦东新,121.547916,31.16912,1
2022-03-21,浦东新区沪南路1168号,浦东新,121.554111,31.177951,1
2022-03-21,浦东新区潮乐路19弄,浦东新,121.854361,30.874145,1
2022-03-21,浦东新区棉场村,浦东新,121.846685,30.967491,1
2022-03-21,浦东新区新德佳苑,浦东新,121.668061,31.189636,1
2022-03-21,浦东新区东海农场,浦东新,121.906525,30.954519,1
